Symbol,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,52-Week Change,S&P500 52-Week Change,52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Avg Vol (10 day),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Short % of Shares Outstanding,Shares Short (prior month),Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Open Today - 5,High Today - 5,Low Today - 5,Close Today - 5,Volume Today - 5,Open Today - 4,High Today - 4,Low Today - 4,Close Today - 4,Volume Today - 4,Open Today - 3,High Today - 3,Low Today - 3,Close Today - 3,Volume Today - 3,Open Today - 2,High Today - 2,Low Today - 2,Close Today - 2,Volume Today - 2,Open Today - 1,High Today - 1,Low Today - 1,Close Today - 1,Volume Today - 1,5 Day % Change,Today % Change
AA,-5.03,2.74,1.11,-6.76,9330000000.0,50.35,-7.9,1920000000.0,922000000,-469000000,-2.53,-1.0,1740000000.0,9.34,2540000000.0,50.61,1.77,18.26,618000000,785250000,2.35,-38.35,15.87,23.47,5.16,13.01,11.26,5450000,6830000,185920000,185150000,0.38,77.21,12590000,2.51,7.58,6.77,13040000,-1.0,-1.0,0.36,2.93,-1.0,0.0,19.3,20.08,19.24,19.81,7392400,20.24,21.0,20.02,20.82,7384100,20.68,20.84,20.26,20.37,5405700,20.6,21.19,20.26,20.48,3739500,20.32,20.45,19.65,19.9,4258020,3.10880829,0.0
AACAY,9.77,0.0,3.92,9.35,-1.0,-1.0,12.1,5110000000.0,-1,-1,0.57,-20.8,-1.0,-1.0,-1.0,46.96,1.81,2.19,-1,-1,1.21,-1.0,-1.0,9.04,4.38,5.73,5.94,59160,41290,1210000000,674540000,0.0,0.11,-1,-1.0,-1.0,-1.0,-1,0.06,1.15,0.27,4.83,2.25,24.73,5.39,5.53,5.31,5.32,48500,5.64,5.64,5.33,5.46,46800,5.56,5.56,5.26,5.38,48900,5.55,5.73,5.44,5.57,21100,5.51,5.77,5.45,5.5,29438,2.040816327,0.0
AAGIY,12.73,17.33,1.71,10.21,43090000000.0,14.3,-19.9,12200000000.0,7660000000,5490000000,1.82,-34.6,87250000000.0,28.93,9390000000.0,16.41,1.65,18.84,5370000000,25490000000,1.0,-1.0,-1.0,45.23,30.5,40.95,37.98,249150,188840,3020000000,3010000000,0.0,0.19,-1,-1.0,-1.0,-1.0,-1,0.36,0.89,0.17,0.41,1.28,36.13,45.48,45.48,44.65,45.14,263600,46.39,46.39,45.48,45.96,173800,46.26,46.26,45.66,45.93,220800,44.81,46.02,44.81,46.0,119300,44.72,44.72,43.61,43.8,304772,-3.693931398,0.0
AAL,-10.4,-9.77,-3.22,-1.0,33360000000.0,77.09,-86.4,12560000000.0,-853000000,-3470000000,-8.02,-1.0,9810000000.0,19.3,40050000000.0,-1.0,0.77,-6.23,352000000,-4270000000,1.76,-1.0,-1.0,31.67,8.25,12.87,12.37,63120000,52840000,508110000,502330000,1.16,84.8,156640000,2.77,44.74,30.8,151580000,-1.0,-1.0,0.3,2.45,1.27,-1.0,12.75,13.58,12.69,13.56,100764000,14.32,14.97,14.08,14.82,156501000,14.77,15.08,14.37,14.94,101052500,15.12,15.56,14.95,14.98,66066400,14.92,14.96,13.93,14.13,95499850,10.82352941,0.0
AAN,-6.8,9.68,8.42,-16.55,4100000000.0,61.13,6.4,1840000000.0,479650000,-278880000,-4.16,60.3,313060000.0,4.66,621510000.0,40.86,2.45,22.66,433300000,2410000000,1.66,-1.0,-1.0,78.65,13.01,57.27,44.55,691980,463240,67140000,66440000,1.33,104.26,2110000,3.25,4.09,3.14,2070000,0.16,0.27,0.16,0.26,0.31,-1.0,63.65,64.89,61.52,64.6,971800,65.0,67.2,64.51,66.33,941300,66.24,66.24,64.16,64.44,483000,64.68,65.59,63.08,64.67,323600,63.32,64.17,62.06,62.93,1272335,-1.131186174,0.0
AAOI,-39.72,-25.92,-6.67,-27.97,200430000.0,9.87,50.2,46200000.0,-27750000,-79610000,-3.92,-1.0,51130000.0,2.24,153920000.0,59.79,1.78,11.73,-32690000,-34170000,1.97,-1.0,-1.0,17.57,5.0,10.98,10.69,890620,316600,22770000,20990000,7.32,61.55,4500000,7.15,27.27,19.75,4470000,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,8.03,8.15,7.8,7.84,762100,7.9,7.95,7.62,7.91,868200,7.97,8.59,7.88,8.43,1077500,8.52,8.6,8.1,8.14,527500,8.18,8.39,8.15,8.31,571737,3.486924035,0.0
AAON,14.27,18.09,14.62,24.25,499150000.0,9.58,5.2,119420000.0,113630000,71220000,1.35,33.0,61280000.0,1.17,1700000.0,0.53,2.87,6.18,124810000,45740000,0.63,-1.0,-1.0,65.69,40.48,59.18,54.71,190310,151940,52260000,40760000,21.98,72.3,3970000,18.67,11.39,7.59,3760000,0.38,0.6,0.35,0.55,0.74,25.93,67.16,67.87,66.34,66.8,163000,-1.0,-1.0,-1.0,-1.0,-1,66.45,67.6,65.06,65.87,157600,65.61,66.1,65.31,65.92,58100,65.53,65.75,64.15,65.13,218321,-3.022632519,0.0
AAT,12.2,30.13,2.52,4.54,372490000.0,6.24,-1.9,237300000.0,215230000,45430000,0.76,-14.1,146130000.0,2.43,1440000000.0,112.75,3.39,21.66,152770000,60170000,0.93,-1.0,-1.0,49.26,20.15,25.03,26.53,292440,234510,60070000,52500000,1.3,98.83,661780,1.93,1.96,1.1,712500,1.0,4.14,1.08,4.39,2.75,142.11,29.06,30.78,28.99,30.26,551300,31.12,31.54,30.69,31.38,543900,31.25,31.48,30.16,30.49,400200,30.36,30.5,29.71,30.18,97700,29.96,30.14,28.69,28.69,404216,-1.273227805,0.0
AAWW,-8.66,11.08,3.36,-12.23,2860000000.0,110.36,24.3,842700000.0,603260000,-248010000,-9.56,-9.2,726400000.0,27.79,2980000000.0,154.34,1.01,73.86,751740000,313530000,1.59,-1.0,-1.0,69.08,14.97,61.21,46.74,485440,377740,26140000,24220000,2.32,102.09,2520000,5.24,13.32,9.62,2250000,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,54.01,55.38,53.76,54.04,416600,54.14,56.85,54.0,56.36,453600,56.66,56.68,54.86,56.01,323300,55.97,56.89,55.83,56.33,153000,56.03,56.78,55.01,55.81,377666,3.332716164,0.0
AB,90.02,100.0,12.16,17.52,287750000.0,2.99,7.1,266290000.0,-1,259040000,2.69,8.9,-1.0,-1.0,-1.0,-1.0,-1.0,15.42,258650000,-1,1.53,-1.0,-1.0,36.06,13.24,28.44,25.94,364740,709900,96330000,93470000,6.59,21.31,311970,0.82,0.33,0.32,259320,2.44,7.4,2.73,8.23,8.67,99.63,31.94,32.25,31.66,31.7,270300,32.02,32.26,31.61,32.15,318900,32.0,32.32,31.59,31.89,305900,31.95,32.41,31.95,32.36,105100,32.38,32.49,31.75,31.87,248950,-0.219160927,0.0
ABB,5.83,10.69,3.81,11.17,26330000000.0,12.34,-14.2,8960000000.0,3680000000,1380000000,0.72,398.4,4400000000.0,2.06,13540000000.0,107.66,1.19,5.7,2680000000,840750000,1.18,-1.0,-1.0,27.04,14.71,25.94,22.71,1560000,1060000,2130000000,1870000000,0.0,4.38,1770000,0.99,-1.0,0.08,2440000,0.83,3.09,0.83,3.1,3.18,123.17,26.81,26.81,26.45,26.61,2874100,26.65,26.87,26.54,26.83,4984400,26.61,26.62,26.46,26.55,1429600,26.57,26.67,26.51,26.6,1018400,26.74,26.78,26.31,26.34,1492360,-1.75307721,0.0
ABCB,16.68,36.32,0.85,6.71,804580000.0,11.59,56.3,673920000.0,-1,134190000,1.92,-17.1,736480000.0,10.63,1550000000.0,-1.0,-1.0,35.51,-995340000,-1,1.53,-1.0,-1.0,44.9,17.12,24.05,23.65,345760,281910,69490000,65500000,5.13,87.87,1640000,4.19,2.92,2.35,1360000,0.6,2.31,0.6,2.3,1.03,32.79,34.55,34.99,34.12,34.5,311700,35.39,36.5,34.7,35.82,593400,35.35,35.98,34.77,35.73,356500,35.4,35.98,34.1,35.28,203100,35.09,35.25,33.87,34.01,577311,-1.562952243,0.0
ABM,-0.08,4.42,4.59,-0.32,6150000000.0,91.94,-15.4,731100000.0,371200000,-4800000,-0.07,52.2,229400000.0,3.44,953800000.0,65.72,1.5,21.77,407500000,311300000,1.23,-1.0,-1.0,40.78,19.79,37.19,34.64,383860,332210,66690000,60820000,1.01,101.45,1230000,2.98,2.54,1.84,1350000,0.74,2.12,0.74,2.1,1.94,-1.0,38.73,39.39,38.36,39.18,213900,39.76,41.17,39.13,41.11,508800,40.81,41.08,39.97,40.26,353200,40.18,40.18,39.38,39.96,103100,39.63,39.65,38.42,38.5,226503,-0.5938548929999999,0.0
ABR,18.96,26.41,1.23,6.02,326150000.0,3.12,11.2,351540000.0,-1,54290000,0.52,49.3,386400000.0,3.44,4900000000.0,389.9,7.21,9.06,384890000,-1,1.82,-1.0,-1.0,15.77,3.54,11.63,9.3,1240000,936480,112210000,104160000,6.32,42.73,5180000,4.39,4.98,4.62,4880000,1.24,10.73,1.21,10.21,9.02,212.5,13.38,13.61,13.29,13.47,1985500,13.71,13.95,13.6,13.77,1386700,13.73,13.87,13.57,13.73,811400,13.75,13.84,13.55,13.69,352700,13.69,13.69,13.17,13.32,1600473,-0.448430493,0.0
ABTX,23.13,32.91,0.74,5.48,170620000.0,8.28,-13.1,187020000.0,-1,39460000,1.89,-30.5,266400000.0,13.04,374280000.0,-1.0,-1.0,36.03,56220000,-1,1.28,-1.0,-1.0,38.95,20.88,24.72,24.57,51550,40290,20430000,18560000,8.36,51.93,476080,7.64,3.02,2.33,585260,0.4,1.53,0.2,0.77,-1.0,10.64,32.35,33.73,32.1,33.22,60300,32.69,33.42,31.7,32.81,60800,-1.0,-1.0,-1.0,-1.0,-1,32.76,33.28,32.27,32.4,48500,32.0,32.84,31.45,31.66,72012,-2.132921175,0.0
AC,-72.17,-34.03,-0.64,-2.37,29300000.0,1.3,-34.9,-919000.0,-9920000,-21140000,-0.94,-1.0,393780000.0,17.61,-1.0,-1.0,20.82,38.09,-263220000,-52360000,1.25,-1.0,-1.0,65.13,24.21,36.31,36.72,15550,8530,3400000,3270000,3.95,85.2,62140,4.76,3.4,0.28,65010,0.2,0.57,0.2,0.57,-1.0,-1.0,37.24,37.37,36.63,36.63,4000,36.85,38.98,36.85,38.42,9300,37.97,38.95,37.04,37.53,3700,37.93,38.53,37.45,38.53,3800,37.94,38.25,36.4,38.25,9589,2.712137487,0.0
ACAD,-57.28,-59.87,-24.1,-42.81,393080000.0,2.57,32.3,79090000.0,-232670000,-225180000,-1.47,-1.0,658550000.0,4.18,8320000.0,1.25,8.51,4.21,-134440000,-62520000,1.43,-1.0,-1.0,58.72,30.02,40.42,45.29,1410000,724450,158860000,115750000,0.1,97.57,9210000,8.36,10.11,5.8,9340000,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,54.12,54.21,52.8,53.84,644200,54.07,54.84,53.53,54.72,1111900,54.89,57.46,54.72,55.86,1272100,56.19,56.28,55.1,56.0,497500,56.7,56.8,55.36,56.66,1154662,4.693274205,0.0
ACBI,25.65,31.08,0.71,5.55,75240000.0,3.43,-31.7,88880000.0,-1,18680000,0.87,-93.7,92470000.0,4.28,134820000.0,-1.0,-1.0,15.64,76380000,-1,1.04,-1.0,-1.0,20.21,8.89,11.97,11.44,68930,73610,21610000,20790000,3.0,89.37,270280,3.14,1.52,1.25,210710,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,15.69,15.99,15.56,15.75,76400,15.9,16.5,15.6,16.38,116900,16.02,16.55,15.48,15.59,93200,15.59,16.05,14.94,15.21,57200,15.06,15.15,13.98,14.04,334143,-10.51625239,0.0
